EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell

  7035926.832171  25582804.518697        0.000000 || -13506135.720339  15217404.425378  -17029358.587093 ||       -0.697670         2.296688  20163371.721976 
  6923801.050698  25613824.136372        0.000000 || -13570801.392117  15227068.413413  -16969877.577273 ||       -0.694735         2.298744  20163740.687179 
  6811542.297649  25644351.840711        0.000000 || -13635228.972560  15236795.296290  -16910070.661225 ||       -0.691792         2.300780  20164110.046949 
  6699152.735331  25674387.069438        0.000000 || -13699417.272855  15246583.903594  -16849939.003376 ||       -0.688841         2.302795  20164479.797748 
  6586634.528357  25703929.269820        0.000000 || -13763365.112905  15256433.058870  -16789483.774290 ||       -0.685881         2.304790  20164849.936040 
  6473989.843609  25732977.898674        0.000000 || -13827071.321376  15266341.579680  -16728706.150653 ||       -0.682912         2.306764  20165220.458284 
  6361220.850193  25761532.422372        0.000000 || -13890534.735737  15276308.277659  -16667607.315241 ||       -0.679935         2.308718  20165591.360939 
  6248329.719393  25789592.316856        0.000000 || -13953754.202305  15286331.958566  -16606188.456900 ||       -0.676950         2.310652  20165962.640463 
  6135318.624635  25817157.067642        0.000000 || -14016728.576281  15296411.422346  -16544450.770524 ||       -0.673956         2.312567  20166334.293310 
  6022189.741440  25844226.169828        0.000000 || -14079456.721795  15306545.463183  -16482395.457024 ||       -0.670955         2.314461  20166706.315934 
  5908945.247384  25870799.128104        0.000000 || -14141937.511947  15316732.869556  -16420023.723311 ||       -0.667945         2.316336  20167078.704787 
  5795587.322052  25896875.456757        0.000000 || -14204169.828845  15326972.424298  -16357336.782265 ||       -0.664928         2.318192  20167451.456315 
  5682118.147001  25922454.679683        0.000000 || -14266152.563647  15337262.904650  -16294335.852715 ||       -0.661903         2.320028  20167824.566965 
  5568539.905711  25947536.330389        0.000000 || -14327884.616597  15347603.082321  -16231022.159412 ||       -0.658870         2.321846  20168198.033179 
  5454854.783548  25972119.952003        0.000000 || -14389364.897070  15357991.723544  -16167396.933005 ||       -0.655829         2.323644  20168571.851397 
  5341064.967716  25996205.097282        0.000000 || -14450592.323605  15368427.589133  -16103461.410015 ||       -0.652781         2.325424  20168946.018054 
  5227172.647220  26019791.328616        0.000000 || -14511565.823948  15378909.434542  -16039216.832812 ||       -0.649725         2.327185  20169320.529583 
  5113180.012818  26042878.218036        0.000000 || -14572284.335084  15389436.009924  -15974664.449586 ||       -0.646662         2.328928  20169695.382411 
  4999089.256983  26065465.347220        0.000000 || -14632746.803281  15400006.060187  -15909805.514327 ||       -0.643591         2.330653  20170070.572965 
  4884902.573857  26087552.307501        0.000000 || -14692952.184124  15410618.325054  -15844641.286795 ||       -0.640513         2.332359  20170446.097663 
  4770622.159210  26109138.699869        0.000000 || -14752899.442552  15421271.539125  -15779173.032497 ||       -0.637429         2.334048  20170821.952922 
  4656250.210395  26130224.134981        0.000000 || -14812587.552893  15431964.431927  -15713402.022661 ||       -0.634337         2.335718  20171198.135152 
  4541788.926308  26150808.233164        0.000000 || -14872015.498903  15442695.727985  -15647329.534208 ||       -0.631238         2.337372  20171574.640760 
  4427240.507344  26170890.624421        0.000000 || -14931182.273799  15453464.146873  -15580956.849732 ||       -0.628132         2.339007  20171951.466147 
  4312607.155355  26190470.948437        0.000000 || -14990086.880294  15464268.403276  -15514285.257466 ||       -0.625019         2.340626  20172328.607709 
  4197891.073606  26209548.854584        0.000000 || -15048728.330636  15475107.207052  -15447316.051264 ||       -0.621899         2.342227  20172706.061835 
  4083094.466731  26228124.001923        0.000000 || -15107105.646635  15485979.263291  -15380050.530569 ||       -0.618773         2.343811  20173083.824912 
  3968219.540695  26246196.059214        0.000000 || -15165217.859703  15496883.272374  -15312490.000390 ||       -0.615640         2.345378  20173461.893316 
  3853268.502745  26263764.704915        0.000000 || -15223064.010885  15507817.930034  -15244635.771275 ||       -0.612501         2.346929  20173840.263422 
  3738243.561373  26280829.627191        0.000000 || -15280643.150892  15518781.927420  -15176489.159284 ||       -0.609355         2.348463  20174218.931594 
  3623146.926268  26297390.523912        0.000000 || -15337954.340134  15529773.951153  -15108051.485963 ||       -0.606203         2.349980  20174597.894193 
  3507980.808277  26313447.102665        0.000000 || -15394996.648754  15540792.683393  -15039324.078317 ||       -0.603044         2.351482  20174977.147572 
  3392747.419360  26328999.080750        0.000000 || -15451769.156654  15551836.801894  -14970308.268784 ||       -0.599880         2.352967  20175356.688076 
  3277448.972548  26344046.185189        0.000000 || -15508270.953536  15562904.980070  -14901005.395209 ||       -0.596709         2.354436  20175736.512044 
  3162087.681900  26358588.152727        0.000000 || -15564501.138923  15573995.887057  -14831416.800814 ||       -0.593531         2.355890  20176116.615808 
  3046665.762461  26372624.729833        0.000000 || -15620458.822196  15585108.187772  -14761543.834175 ||       -0.590348         2.357327  20176496.995691 
  2931185.430216  26386155.672708        0.000000 || -15676143.122622  15596240.542977  -14691387.849192 ||       -0.587159         2.358750  20176877.648009 
  2815648.902052  26399180.747284        0.000000 || -15731553.169383  15607391.609343  -14620950.205062 ||       -0.583964         2.360156  20177258.569071 
  2700058.395710  26411699.729227        0.000000 || -15786688.101608  15618560.039508  -14550232.266254 ||       -0.580763         2.361548  20177639.755176 
  2584416.129747  26423712.403941        0.000000 || -15841547.068397  15629744.482145  -14479235.402482 ||       -0.577557         2.362924  20178021.202615 
  2468724.323489  26435218.566567        0.000000 || -15896129.228856  15640943.582021  -14407960.988672 ||       -0.574344         2.364286  20178402.907671 
  2352985.196991  26446218.021990        0.000000 || -15950433.752119  15652155.980063  -14336410.404941 ||       -0.571126         2.365633  20178784.866618 
  2237200.970992  26456710.584835        0.000000 || -16004459.817380  15663380.313418  -14264585.036567 ||       -0.567903         2.366965  20179167.075721 
  2121373.866874  26466696.079475        0.000000 || -16058206.613915  15674615.215520  -14192486.273961 ||       -0.564674         2.368282  20179549.531236 
  2005506.106619  26476174.340024        0.000000 || -16111673.341115  15685859.316150  -14120115.512637 ||       -0.561439         2.369585  20179932.229409 
  1889599.912764  26485145.210348        0.000000 || -16164859.208508  15697111.241503  -14047474.153190 ||       -0.558199         2.370874  20180315.166476 
  1773657.508360  26493608.544058        0.000000 || -16217763.435786  15708369.614250  -13974563.601262 ||       -0.554954         2.372149  20180698.338665 
  1657681.116930  26501564.204515        0.000000 || -16270385.252832  15719633.053604  -13901385.267518 ||       -0.551703         2.373409  20181081.742192 
  1541672.962423  26509012.064831        0.000000 || -16322723.899740  15730900.175379  -13827940.567616 ||       -0.548447         2.374656  20181465.373263 
  1425635.269176  26515952.007866        0.000000 || -16374778.626847  15742169.592063  -13754230.922180 ||       -0.545186         2.375889  20181849.228076 
  1309570.261866  26522383.926231        0.000000 || -16426548.694751  15753439.912874  -13680257.756769 ||       -0.541920         2.377108  20182233.302815 
  1193480.165471  26528307.722289        0.000000 || -16478033.374337  15764709.743829  -13606022.501852 ||       -0.538649         2.378314  20182617.593655 
  1077367.205224  26533723.308152        0.000000 || -16529231.946800  15775977.687811  -13531526.592778 ||       -0.535373         2.379507  20183002.096759 
   961233.606574  26538630.605683        0.000000 || -16580143.703668  15787242.344627  -13456771.469747 ||       -0.532092         2.380687  20183386.808282 
   845081.595140  26543029.546493        0.000000 || -16630767.946825  15798502.311080  -13381758.577783 ||       -0.528807         2.381853  20183771.724362 
   728913.396671  26546920.071945        0.000000 || -16681103.988532  15809756.181031  -13306489.366704 ||       -0.525516         2.383006  20184156.841131 
   612731.237001  26550302.133148        0.000000 || -16731151.151446  15821002.545464  -13230965.291093 ||       -0.522221         2.384147  20184542.154705 
   496537.342006  26553175.690958        0.000000 || -16780908.768648  15832239.992553  -13155187.810268 ||       -0.518921         2.385275  20184927.661191 
   380333.937564  26555540.715980        0.000000 || -16830376.183656  15843467.107726  -13079158.388259 ||       -0.515616         2.386390  20185313.356682 
   264123.249510  26557397.188559        0.000000 || -16879552.750450  15854682.473732  -13002878.493770 ||       -0.512307         2.387493  20185699.237259 
   147907.503595  26558745.098787        0.000000 || -16928437.833489  15865884.670708  -12926349.600157 ||       -0.508993         2.388584  20186085.298991 
    31688.925441  26559584.446496        0.000000 || -16977030.807733  15877072.276241  -12849573.185397 ||       -0.505675         2.389662  20186471.537934 
   -84530.259499  26559915.241256        0.000000 || -17025331.058658  15888243.865438  -12772550.732056 ||       -0.502352         2.390728  20186857.950131 
  -200747.825986  26559737.502375        0.000000 || -17073337.982279  15899398.010990  -12695283.727263 ||       -0.499025         2.391783  20187244.531612 
  -316961.549035  26559051.258897        0.000000 || -17121050.985164  15910533.283239  -12617773.662680 ||       -0.495694         2.392825  20187631.278395 
  -433169.203961  26557856.549596        0.000000 || -17168469.484453  15921648.250246  -12540022.034471 ||       -0.492358         2.393856  20188018.186481 
  -549368.566416  26556153.422976        0.000000 || -17215592.907875  15932741.477853  -12462030.343273 ||       -0.489018         2.394876  20188405.251860 
  -665557.412438  26553941.937271        0.000000 || -17262420.693766  15943811.529754  -12383800.094168 ||       -0.485674         2.395883  20188792.470509 
  -781733.518490  26551222.160433        0.000000 || -17308952.291082  15954856.967562  -12305332.796651 ||       -0.482326         2.396880  20189179.838390 
  -897894.661502  26547994.170140        0.000000 || -17355187.159417  15965876.350870  -12226629.964600 ||       -0.478974         2.397865  20189567.351449 
 -1014038.618915  26544258.053782        0.000000 || -17401124.769018  15976868.237326  -12147693.116252 ||       -0.475618         2.398839  20189955.005620 
 -1130163.168723  26540013.908466        0.000000 || -17446764.600798  15987831.182693  -12068523.774162 ||       -0.472258         2.399802  20190342.796822 
 -1246266.089513  26535261.841005        0.000000 || -17492106.146355  15998763.740920  -11989123.465186 ||       -0.468894         2.400755  20190730.720958 
 -1362345.160514  26530001.967921        0.000000 || -17537148.907978  16009664.464208  -11909493.720439 ||       -0.465526         2.401696  20191118.773919 
 -1478398.161630  26524234.415436        0.000000 || -17581892.398669  16020531.903077  -11829636.075274 ||       -0.462154         2.402627  20191506.951578 
 -1594422.873490  26517959.319467        0.000000 || -17626336.142151  16031364.606433  -11749552.069246 ||       -0.458778         2.403547  20191895.249793 
 -1710417.077487  26511176.825625        0.000000 || -17670479.672879  16042161.121638  -11669243.246085 ||       -0.455399         2.404457  20192283.664410 
 -1826378.555820  26503887.089210        0.000000 || -17714322.536059  16052919.994573  -11588711.153664 ||       -0.452016         2.405356  20192672.191254 
 -1942305.091537  26496090.275201        0.000000 || -17757864.287651  16063639.769709  -11507957.343969 ||       -0.448629         2.406246  20193060.826139 
 -2058194.468577  26487786.558259        0.000000 || -17801104.494388  16074318.990173  -11426983.373069 ||       -0.445239         2.407125  20193449.564862 
 -2174044.471812  26478976.122713        0.000000 || -17844042.733780  16084956.197817  -11345790.801085 ||       -0.441845         2.407994  20193838.403202 
 -2289852.887091  26469659.162562        0.000000 || -17886678.594128  16095549.933283  -11264381.192159 ||       -0.438448         2.408854  20194227.336923 
 -2405617.501277  26459835.881465        0.000000 || -17929011.674536  16106098.736073  -11182756.114425 ||       -0.435047         2.409703  20194616.361774 
 -2521336.102294  26449506.492736        0.000000 || -17971041.584914  16116601.144618  -11100917.139976 ||       -0.431643         2.410543  20195005.473485 
 -2637006.479169  26438671.219340        0.000000 || -18012767.945991  16127055.696342  -11018865.844836 ||       -0.428235         2.411373  20195394.667772 
 -2752626.422069  26427330.293883        0.000000 || -18054190.389325  16137460.927733  -10936603.808924 ||       -0.424824         2.412194  20195783.940331 
 -2868193.722349  26415483.958610        0.000000 || -18095308.557306  16147815.374409  -10854132.616031 ||       -0.421410         2.413006  20196173.286845 
 -2983706.172589  26403132.465394        0.000000 || -18136122.103167  16158117.571188  -10771453.853782 ||       -0.417992         2.413808  20196562.702976 
 -3099161.566639  26390276.075732        0.000000 || -18176630.690992  16168366.052154  -10688569.113607 ||       -0.414571         2.414601  20196952.184371 
 -3214557.699659  26376915.060741        0.000000 || -18216833.995719  16178559.350727  -10605479.990712 ||       -0.411147         2.415385  20197341.726658 
 -3329892.368162  26363049.701142        0.000000 || -18256731.703148  16188695.999728  -10522188.084047 ||       -0.407720         2.416161  20197731.325450 
 -3445163.370054  26348680.287262        0.000000 || -18296323.509949  16198774.531451  -10438694.996272 ||       -0.404290         2.416927  20198120.976340 
 -3560368.504679  26333807.119021        0.000000 || -18335609.123662  16208793.477729  -10355002.333729 ||       -0.400857         2.417684  20198510.674904 
 -3675505.572856  26318430.505929        0.000000 || -18374588.262708  16218751.370002  -10271111.706409 ||       -0.397420         2.418433  20198900.416700 
 -3790572.376925  26302550.767072        0.000000 || -18413260.656387  16228646.739385  -10187024.727922 ||       -0.393981         2.419174  20199290.197266 
 -3905566.720784  26286168.231108        0.000000 || -18451626.044886  16238478.116737  -10102743.015465 ||       -0.390539         2.419906  20199680.012126 
 -4020486.409935  26269283.236260        0.000000 || -18489684.179284  16248244.032730  -10018268.189788 ||       -0.387094         2.420629  20200069.856781 
 -4135329.251524  26251896.130304        0.000000 || -18527434.821548  16257943.017915  -9933601.875166 ||       -0.383646         2.421345  20200459.726716 
 -4250093.054379  26234007.270563        0.000000 || -18564877.744543  16267573.602791  -9848745.699368 ||       -0.380195         2.422052  20200849.617398 
 -4364775.629057  26215617.023899        0.000000 || -18602012.732029  16277134.317875  -9763701.293620 ||       -0.376742         2.422751  20201239.524272 
 -4479374.787881  26196725.766700        0.000000 || -18638839.578666  16286623.693768  -9678470.292579 ||       -0.373285         2.423443  20201629.442767 
 -4593888.344983  26177333.884875        0.000000 || -18675358.090012  16296040.261224  -9593054.334297 ||       -0.369826         2.424126  20202019.368292 
 -4708314.116345  26157441.773844        0.000000 || -18711568.082527  16305382.551219  -9507455.060194 ||       -0.366364         2.424802  20202409.296237 
 -4822649.919840  26137049.838529        0.000000 || -18747469.383570  16314649.095017  -9421674.115020 ||       -0.362900         2.425469  20202799.221972 
 -4936893.575272  26116158.493340        0.000000 || -18783061.831401  16323838.424240  -9335713.146829 ||       -0.359433         2.426130  20203189.140848 
 -5051042.904420  26094768.162172        0.000000 || -18818345.275179  16332949.070938  -9249573.806943 ||       -0.355963         2.426783  20203579.048197 
 -5165095.731076  26072879.278390        0.000000 || -18853319.574962  16341979.567653  -9163257.749921 ||       -0.352491         2.427428  20203968.939330 
 -5279049.881088  26050492.284822        0.000000 || -18887984.601703  16350928.447489  -9076766.633528 ||       -0.349017         2.428066  20204358.809541 
 -5392903.182398  26027607.633747        0.000000 || -18922340.237253  16359794.244181  -8990102.118703 ||       -0.345540         2.428697  20204748.654100 
 -5506653.465086  26004225.786884        0.000000 || -18956386.374352  16368575.492163  -8903265.869525 ||       -0.342060         2.429321  20205138.468259 
 -5620298.561410  25980347.215384        0.000000 || -18990122.916631  16377270.726635  -8816259.553181 ||       -0.338578         2.429938  20205528.247252 
 -5733836.305846  25955972.399815        0.000000 || -19023549.778605  16385878.483631  -8729084.839936 ||       -0.335094         2.430548  20205917.986290 
 -5847264.535127  25931101.830156        0.000000 || -19056666.885674  16394397.300089  -8641743.403099 ||       -0.331607         2.431151  20206307.680564 
 -5960581.088289  25905736.005784        0.000000 || -19089474.174112  16402825.713916  -8554236.918992 ||       -0.328118         2.431747  20206697.325246 
 -6073783.806704  25879875.435458        0.000000 || -19121971.591067  16411162.264059  -8466567.066913 ||       -0.324627         2.432337  20207086.915486 
 -6186870.534127  25853520.637315        0.000000 || -19154159.094556  16419405.490570  -8378735.529111 ||       -0.321134         2.432920  20207476.446414 
 -6299839.116733  25826672.138856        0.000000 || -19186036.653457  16427553.934677  -8290743.990749 ||       -0.317638         2.433496  20207865.913138 
 -6412687.403158  25799330.476928        0.000000 || -19217604.247502  16435606.138849  -8202594.139869 ||       -0.314140         2.434066  20208255.310749 
 -6525413.244540  25771496.197723        0.000000 || -19248861.867274  16443560.646864  -8114287.667368 ||       -0.310640         2.434630  20208644.634313 
 -6638014.494558  25743169.856756        0.000000 || -19279809.514197  16451416.003880  -8025826.266954 ||       -0.307138         2.435187  20209033.878876 
 -6750489.009474  25714352.018859        0.000000 || -19310447.200530  16459170.756499  -7937211.635124 ||       -0.303634         2.435739  20209423.039464 
 -6862834.648170  25685043.258163        0.000000 || -19340774.949359  16466823.452834  -7848445.471126 ||       -0.300128         2.436284  20209812.111082 
 -6975049.272192  25655244.158090        0.000000 || -19370792.794587  16474372.642582  -7759529.476925 ||       -0.296620         2.436823  20210201.088713 
 -7087130.745786  25624955.311341        0.000000 || -19400500.780927  16481816.877085  -7670465.357173 ||       -0.293109         2.437356  20210589.967317 
 -7199076.935941  25594177.319876        0.000000 || -19429898.963892  16489154.709400  -7581254.819177 ||       -0.289597         2.437884  20210978.741836 
 -7310885.712428  25562910.794909        0.000000 || -19458987.409784  16496384.694370  -7491899.572863 ||       -0.286083         2.438405  20211367.407188 
 -7422554.947838  25531156.356888        0.000000 || -19487766.195688  16503505.388684  -7402401.330745 ||       -0.282567         2.438921  20211755.958270 
 -7534082.517625  25498914.635486        0.000000 || -19516235.409455  16510515.350950  -7312761.807894 ||       -0.279049         2.439432  20212144.389959 
 -7645466.300141  25466186.269586        0.000000 || -19544395.149696  16517413.141758  -7222982.721899 ||       -0.275530         2.439937  20212532.697107 
 -7756704.176680  25432971.907266        0.000000 || -19572245.525769  16524197.323752  -7133065.792842 ||       -0.272008         2.440436  20212920.874548 
 -7867794.031516  25399272.205786        0.000000 || -19599786.657767  16530866.461692  -7043012.743258 ||       -0.268485         2.440931  20213308.917091 
 -7978733.751942  25365087.831574        0.000000 || -19627018.676504  16537419.122523  -6952825.298108 ||       -0.264960         2.441420  20213696.819526 
 -8089521.228309  25330419.460210        0.000000 || -19653941.723503  16543853.875443  -6862505.184740 ||       -0.261434         2.441903  20214084.576617 
 -8200154.354065  25295267.776415        0.000000 || -19680555.950986  16550169.291966  -6772054.132860 ||       -0.257905         2.442382  20214472.183111 
 -8310631.025796  25259633.474032        0.000000 || -19706861.521856  16556363.945992  -6681473.874498 ||       -0.254375         2.442855  20214859.633729 
 -8420949.143265  25223517.256013        0.000000 || -19732858.609683  16562436.413873  -6590766.143975 ||       -0.250843         2.443324  20215246.923171 
 -8531106.609449  25186919.834407        0.000000 || -19758547.398691  16568385.274476  -6499932.677867 ||       -0.247310         2.443788  20215634.046117 
 -8641101.330578  25149841.930338        0.000000 || -19783928.083744  16574209.109256  -6408975.214977 ||       -0.243775         2.444247  20216020.997221 
 -8750931.216176  25112284.273997        0.000000 || -19809000.870328  16579906.502314  -6317895.496298 ||       -0.240239         2.444701  20216407.771117 
