Timestamp,Latitude,Longitude,Altitude,Speed,Course,Hacc
15:59.0,45.4777,9.2258,119.073,0,0,15.826
16:00.0,45.4777,9.2258,119.187,0,0,15.826
16:01.0,45.4777,9.2258,119.326,0,0,15.826
16:02.0,45.4777,9.2258,119.305,0,0,15.826
16:03.0,45.4777,9.2259,118.253,0.03,0,14.267
16:04.0,45.4777,9.2259,118.276,0.043,0,14.269
16:05.0,45.4777,9.2258,118.278,0.057,0,14.269
16:06.0,45.4777,9.2259,118.173,0.146,0,14.269
16:07.0,45.4777,9.2259,118.21,0.029,0,14.267
16:08.0,45.4777,9.2259,118.212,0.035,0,14.268
16:09.0,45.4777,9.2259,118.182,0.021,0,14.268
16:10.0,45.4777,9.2258,118.457,0.147,0,14.267
16:11.0,45.4777,9.2258,118.593,0.321,0,14.266
16:12.0,45.4777,9.2258,118.539,0.457,128.954,14.263
16:13.0,45.4777,9.2258,118.558,0.392,0,14.264
16:14.0,45.4777,9.2258,118.456,0.504,114.257,14.264
16:15.0,45.4777,9.2259,118.395,0.432,0,14.263
16:16.0,45.4777,9.2259,118.465,0.464,117.021,14.263
16:17.0,45.4777,9.2259,118.516,0.406,114.414,14.262
16:18.0,45.4777,9.2259,118.272,0.396,0,14.265
16:19.0,45.4777,9.2259,118.321,0.516,117.331,14.263
16:20.0,45.4777,9.2259,118.334,0.602,115.731,14.263
16:21.0,45.4777,9.2259,118.238,0.706,116.575,14.263
16:22.0,45.4777,9.2259,118.191,0.605,115,14.262
16:23.0,45.4777,9.2259,118.3,0.659,116.073,14.265
16:24.0,45.4777,9.2259,118.496,0.616,116.117,14.261
16:25.0,45.4777,9.2259,118.421,0.475,111.794,14.261
16:26.0,45.4777,9.2259,118.236,0.558,117.488,14.262
16:27.0,45.4777,9.2259,118.262,0.467,111.104,14.262
16:28.0,45.4777,9.2259,118.19,0.495,116.509,14.262
16:29.0,45.4777,9.2259,118.291,0.542,121.29,14.264
16:30.0,45.4777,9.2259,118.187,0.517,113.539,14.263
16:31.0,45.4777,9.2259,118.076,0.543,115.421,14.264
16:32.0,45.4777,9.226,118.157,0.471,114.532,14.264
16:33.0,45.4777,9.226,118.237,0.489,112.504,14.265
16:34.0,45.4777,9.226,118.215,0.574,122.491,14.265
16:35.0,45.4777,9.226,118.08,0.586,114.24,14.264
16:36.0,45.4777,9.226,118.145,0.568,119.641,14.264
16:37.0,45.4777,9.226,117.97,0.621,123.261,14.264
16:38.0,45.4777,9.226,118.067,0.646,110.878,14.264
16:39.0,45.4777,9.226,117.927,0.638,124.523,14.264
16:40.0,45.4777,9.226,117.959,0.612,110.72,14.265
16:41.0,45.4777,9.226,117.88,0.674,106.511,14.264
16:42.0,45.4777,9.226,117.859,0.636,118.884,14.263
16:43.0,45.4777,9.226,117.848,0.646,118.051,14.264
16:44.0,45.4776,9.226,118.169,0.579,115.163,14.263
16:45.0,45.4776,9.2261,118.485,0.668,110.852,14.263
16:46.0,45.4776,9.2261,118.563,0.667,107.727,14.263
16:47.0,45.4776,9.2261,118.349,0.646,114.633,14.265
16:48.0,45.4776,9.2261,117.599,2.175,164.438,14.265
16:49.0,45.4776,9.2261,117.844,0.734,120.57,14.264
16:50.0,45.4776,9.2261,117.779,0.711,115.89,14.263
16:51.0,45.4776,9.2261,117.714,0.707,111.145,14.265
16:52.0,45.4776,9.2261,117.763,0.735,113.726,14.264
16:53.0,45.4776,9.2261,117.685,0.712,114.164,14.265
16:54.0,45.4776,9.2261,117.735,0.713,112.489,14.266
16:55.0,45.4776,9.2261,117.789,0.685,104.879,14.264
16:56.0,45.4776,9.2261,117.832,0.589,105.128,14.264
16:57.0,45.4776,9.2261,117.624,0.548,104.865,14.264
16:58.0,45.4776,9.2262,117.67,0.673,103.331,14.267
16:59.0,45.4776,9.2262,117.65,0.605,100.916,14.265
17:00.0,45.4776,9.2262,117.873,0.607,109.535,14.264
17:01.0,45.4776,9.2262,117.955,0.692,106.03,14.264
17:02.0,45.4776,9.2262,118.04,0.694,100.072,14.263
17:03.0,45.4776,9.2262,117.789,0.665,105.985,14.263
17:04.0,45.4776,9.2262,117.86,0.703,102.909,14.262
17:05.0,45.4776,9.2262,117.848,0.687,103.726,14.261
17:06.0,45.4776,9.2262,118.03,0.708,102.076,14.26
17:07.0,45.4776,9.2263,117.857,0.664,98.831,14.262
17:08.0,45.4776,9.2263,117.942,0.769,102.477,14.262
17:09.0,45.4776,9.2263,117.898,0.632,100.099,14.262
17:10.0,45.4776,9.2263,117.811,0.624,99.619,14.266
17:11.0,45.4776,9.2263,117.731,0.536,101.383,14.269
17:12.0,45.4776,9.2263,117.854,0.605,100.465,14.27
17:13.0,45.4776,9.2263,117.937,0.612,87.159,14.272
17:14.0,45.4776,9.2263,117.908,0.602,90.24,14.272
17:15.0,45.4776,9.2263,117.894,0.672,95.904,14.273
17:16.0,45.4776,9.2263,117.917,0.698,88.841,14.273
17:17.0,45.4776,9.2263,117.736,0.868,94.827,14.274
17:18.0,45.4776,9.2263,117.911,0.764,90.134,14.274
17:19.0,45.4776,9.2264,118.003,0.702,87.786,14.273
17:20.0,45.4776,9.2264,118.095,0.531,87.065,14.273
17:21.0,45.4776,9.2264,117.917,0.625,82.897,14.273
17:22.0,45.4776,9.2264,118.003,0.674,80.637,14.275
17:23.0,45.4776,9.2264,117.963,0.671,83.843,14.274
17:24.0,45.4776,9.2264,117.931,0.715,91.141,14.273
17:25.0,45.4776,9.2264,117.977,0.679,87.82,14.273
17:26.0,45.4776,9.2264,117.995,0.792,84.192,14.273
17:27.0,45.4776,9.2264,118.128,0.808,87.536,14.272
17:28.0,45.4776,9.2264,118.114,0.752,83.117,14.272
17:29.0,45.4776,9.2264,118.117,0.828,84.229,14.273
17:30.0,45.4776,9.2264,118.182,0.816,85.819,14.27
17:31.0,45.4776,9.2265,118.015,0.782,85.77,14.272
17:32.0,45.4776,9.2265,118.125,0.689,91.264,14.269
17:33.0,45.4776,9.2265,118.197,0.825,80.589,14.269
17:34.0,45.4776,9.2265,118.252,0.733,81.46,14.268
17:35.0,45.4776,9.2265,118.133,0.691,81.905,14.265
17:36.0,45.4776,9.2265,118.535,1.069,80.379,14.248
17:37.0,45.4776,9.2265,118.6,0.811,79.387,14.247
17:38.0,45.4776,9.2265,118.477,0.721,80.804,14.247
17:39.0,45.4776,9.2265,118.512,0.751,76.747,14.247
17:40.0,45.4776,9.2265,118.328,0.784,79.274,14.247
17:41.0,45.4776,9.2266,118.279,0.751,76.115,14.246
17:42.0,45.4776,9.2266,118.16,0.716,75.011,14.245
17:43.0,45.4776,9.2266,118.309,0.709,75.565,14.245
17:44.0,45.4776,9.2266,118.211,0.713,72.908,14.244
17:45.0,45.4776,9.2266,118.032,0.703,73.625,14.244
17:46.0,45.4776,9.2266,118.262,0.732,72.245,14.245
17:47.0,45.4776,9.2266,118.133,0.787,68.422,14.244
17:48.0,45.4776,9.2266,118.182,0.867,68.224,14.244
17:49.0,45.4776,9.2266,118.138,0.865,66.954,14.244
17:50.0,45.4776,9.2266,118.291,0.776,69.778,14.244
17:51.0,45.4776,9.2266,118.345,0.752,72.897,14.244
17:52.0,45.4776,9.2266,118.258,0.767,69.85,14.244
17:53.0,45.4776,9.2267,118.266,0.833,68.794,14.244
